"","campname","age","sex","utm36m","v9","gpsx","gpsy","endowmentcondition","endowmentlighter","endowmentbiscuit"
"1","Endadubu",36,"Female",760247,9575472,-3.83755207061768,35.3433418273926,1,"Yes","No"
"2","Endadubu",35,"Male",760247,9575472,-3.83755207061768,35.3433418273926,1,"No","Yes"
"3","Endadubu",60,"Male",760247,9575472,-3.83755207061768,35.3433418273926,1,"Yes","Yes"
"4","Endadubu",70,"Male",760247,9575472,-3.83755207061768,35.3433418273926,2,"No","No"
"5","Endadubu",30,"Male",760247,9575472,-3.83755207061768,35.3433418273926,1,"No","No"
"6","Endadubu",64,"Male",760247,9575472,-3.83755207061768,35.3433418273926,1,"No","Yes"
"7","Endadubu",35,"Female",760247,9575472,-3.83755207061768,35.3433418273926,1,"Yes","No"
"8","Endadubu",34,"Female",760247,9575472,-3.83755207061768,35.3433418273926,1,"Yes","No"
"9","Endadubu",51,"Female",760247,9575472,-3.83755207061768,35.3433418273926,1,"Yes","Yes"
"10","Endadubu",24,"Female",760247,9575472,-3.83755207061768,35.3433418273926,1,"Yes","Yes"
"11","Endadubu",16,"Male",760247,9575472,-3.83755207061768,35.3433418273926,1,"No","Yes"
"12","Endadubu",24,"Female",760247,9575472,-3.83755207061768,35.3433418273926,1,"No","No"
"13","Endadubu",27,"Female",760247,9575472,-3.83755207061768,35.3433418273926,1,"Yes","Yes"
"14","Endadubu",61,"Female",760247,9575472,-3.83755207061768,35.3433418273926,1,"Yes","No"
"15","Endadubu",28,"Male",760247,9575472,-3.83755207061768,35.3433418273926,1,"Yes","No"
"16","Endadubu",59,"Female",760247,9575472,-3.83755207061768,35.3433418273926,1,"No","No"
"17","Mayai",28,"Male",687864,9609456,-3.53178238868713,34.6912307739258,1,"No","No"
"18","Mayai",24,"Female",687864,9609456,-3.53178238868713,34.6912307739258,1,"No","Yes"
"19","Mayai",35,"Female",687864,9609456,-3.53178238868713,34.6912307739258,1,"Yes","Yes"
"20","Mayai",37,"Male",687864,9609456,-3.53178238868713,34.6912307739258,1,"Yes","Yes"
"21","Mayai",40,"Male",687864,9609456,-3.53178238868713,34.6912307739258,1,"Yes","Yes"
"22","Mizeu",33,"Male",725920,9576884,-3.82558178901672,35.0343627929688,1,"Yes","Yes"
"23","Mkwajuni",39,"Female",768055,9609198,-3.53251099586487,35.412784576416,2,"No","No"
"24","Mkwajuni",34,"Female",768055,9609198,-3.53251099586487,35.412784576416,2,"No","No"
"25","Mkwajuni",22,"Male",768055,9609198,-3.53251099586487,35.412784576416,2,"Yes","No"
"26","Mkwajuni",40,"Male",768055,9609198,-3.53251099586487,35.412784576416,2,"No","Yes"
"27","Mkwajuni",32,"Male",768055,9609198,-3.53251099586487,35.412784576416,2,"Yes","No"
"28","Mkwajuni",49,"Female",768055,9609198,-3.53251099586487,35.412784576416,2,"No","Yes"
"29","Mkwajuni",37,"Male",768055,9609198,-3.53251099586487,35.412784576416,2,"No","No"
"30","Mkwajuni",34,"Female",768055,9609198,-3.53251099586487,35.412784576416,2,"No","No"
"31","Mkwajuni",45,"Male",768055,9609198,-3.53251099586487,35.412784576416,2,"No","No"
"32","Mkwajuni",40,"Female",768055,9609198,-3.53251099586487,35.412784576416,2,"No","No"
"33","Mkwajuni",45,"Male",768055,9609198,-3.53251099586487,35.412784576416,2,"No","No"
"34","Mkwajuni",34,"Male",768055,9609198,-3.53251099586487,35.412784576416,2,"No","No"
"35","Mkwajuni",29,"Male",768055,9609198,-3.53251099586487,35.412784576416,2,"No","Yes"
"36","Mkwajuni",25,"Female",768055,9609198,-3.53251099586487,35.412784576416,2,"No","Yes"
"37","Mkwajuni",46,"Female",768055,9609198,-3.53251099586487,35.412784576416,2,"No","No"
"38","Mkwajuni",40,"Female",768055,9609198,-3.53251099586487,35.412784576416,2,"Yes","No"
"39","Mkwajuni",57,"Female",768055,9609198,-3.53251099586487,35.412784576416,2,"No","No"
"40","Mkwajuni",19,"Female",768055,9609198,-3.53251099586487,35.412784576416,2,"No","No"
"41","Mkwajuni",36,"Male",768055,9609198,-3.53251099586487,35.412784576416,2,"Yes","Yes"
"42","Mkwajuni",33,"Male",768055,9609198,-3.53251099586487,35.412784576416,2,"No","No"
"43","Mkwajuni",30,"Male",768055,9609198,-3.53251099586487,35.412784576416,2,"No","Yes"
"44","Mkwajuni",35,"Female",768055,9609198,-3.53251099586487,35.412784576416,2,"No","No"
"45","Mwashilatu",32,"Male",683910,9612238,-3.50668883323669,34.6556015014648,2,"No","Yes"
"46","Mwashilatu",24,"Female",683910,9612238,-3.50668883323669,34.6556015014648,2,"No","Yes"
"47","Mwashilatu",28,"Female",683910,9612238,-3.50668883323669,34.6556015014648,2,"Yes","No"
"48","Mwashilatu",52,"Female",683910,9612238,-3.50668883323669,34.6556015014648,2,"No","No"
"49","Mwashilatu",60,"Male",683910,9612238,-3.50668883323669,34.6556015014648,2,"No","No"
"50","Mwashilatu",25,"Female",683910,9612238,-3.50668883323669,34.6556015014648,2,"Yes","Yes"
"51","Mwashilatu",35,"Female",683910,9612238,-3.50668883323669,34.6556015014648,2,"No","Yes"
"52","Mwashilatu",30,"Female",683910,9612238,-3.50668883323669,34.6556015014648,2,"No","Yes"
"53","Mwashilatu",41,"Female",683910,9612238,-3.50668883323669,34.6556015014648,2,"Yes","No"
"54","Mwashilatu",27,"Female",683910,9612238,-3.50668883323669,34.6556015014648,2,"Yes","Yes"
"55","Mwashilatu",45,"Female",683910,9612238,-3.50668883323669,34.6556015014648,2,"No","Yes"
"56","Mwashilatu",33,"Male",683910,9612238,-3.50668883323669,34.6556015014648,2,"No","Yes"
"57","Mwashilatu",18,"Male",683910,9612238,-3.50668883323669,34.6556015014648,2,"No","No"
"58","Mwashilatu",57,"Male",683910,9612238,-3.50668883323669,34.6556015014648,2,"Yes","Yes"
"59","Mwashilatu",32,"Male",683910,9612238,-3.50668883323669,34.6556015014648,2,"No","No"
"60","Onawasi",19,"Male",732059,9586670,-3.73697423934937,35.0894088745117,1,"No","No"
"61","Onawasi",18,"Female",732059,9586670,-3.73697423934937,35.0894088745117,1,"Yes","No"
